Team,Date,Score
Netherlands,31-10-2011,47.71
New Zealand,31-10-2011,91.43
Nigeria,31-10-2011,35.28
Niue Island,31-10-2011,41.11
Norway,31-10-2011,34.81
Papua New Guinea,31-10-2011,46.19
Paraguay,31-10-2011,48.84
Peru,31-10-2011,41.64
Poland,31-10-2011,53.67
Portugal,31-10-2011,60.67
Romania,31-10-2011,63.98
Russia,31-10-2011,60.54
Samoa,31-10-2011,75.81
Scotland,31-10-2011,76.2
Senegal,31-10-2011,45.24
Serbia,31-10-2011,41.77
Singapore,31-10-2011,45.67
Slovenia,31-10-2011,39.24
Solomon Islands,31-10-2011,39.06
South Africa,31-10-2011,84.34
Spain,31-10-2011,59.43
Sri Lanka,31-10-2011,47.03
St Vincent and the Grenadines,31-10-2011,39.3
Swaziland,31-10-2011,36.68
Sweden,31-10-2011,51.46
Switzerland,31-10-2011,44.22
Tahiti,31-10-2011,36.25
Thailand,31-10-2011,41.46
Tonga,31-10-2011,76.63
Trinidad & Tobago,31-10-2011,45.85
Tunisia,31-10-2011,52.35
Uganda,31-10-2011,47.69
Ukraine,31-10-2011,53.22
Uruguay,31-10-2011,60
USA,31-10-2011,65.63
Vanuatu,31-10-2011,34.77
Venezuela,31-10-2011,45.36
Wales,31-10-2011,80.18
Zambia,31-10-2011,39.94
Zimbabwe,31-10-2011,52.4
Andorra,31-10-2005,44.64
Arabian Gulf,31-10-2005,47.53
Argentina,31-10-2005,74.23
Australia,31-10-2005,84.85
Austria,31-10-2005,42.71
Bahamas,31-10-2005,35.61
Barbados,31-10-2005,43.13
Belgium,31-10-2005,51.25
Bermuda,31-10-2005,41.69
Bosnia & Herzegovina,31-10-2005,33.37
Botswana,31-10-2005,38.64
Brazil,31-10-2005,50.72
Bulgaria,31-10-2005,35.37
Cameroon,31-10-2005,38.94
Canada,31-10-2005,69.78
Cayman Islands,31-10-2005,43.87
Chile,31-10-2005,59.87
China,31-10-2005,49.76
Chinese Taipei,31-10-2005,48.54
Colombia,31-10-2005,37.53
Cook Islands,31-10-2005,45.87
Cote D'Ivoire,31-10-2005,48.59
Croatia,31-10-2005,50.87
Czech Republic,31-10-2005,58.12
Denmark,31-10-2005,47.39
England,31-10-2005,82.81
Fiji,31-10-2005,73.02
Finland,31-10-2005,29.32
France,31-10-2005,84.13
Georgia,31-10-2005,63.28
Germany,31-10-2005,55.6
Guam,31-10-2005,38.14
Guyana,31-10-2005,40.35
Hong Kong,31-10-2005,54.09
Hungary,31-10-2005,40.11
India,31-10-2005,37.08
Ireland,31-10-2005,82.14
Israel,31-10-2005,34.98
Italy,31-10-2005,72.77
Jamaica,31-10-2005,38.97
Japan,31-10-2005,65.48
Kazakhstan,31-10-2005,47.99
Kenya,31-10-2005,48.97
Korea,31-10-2005,60.35
Latvia,31-10-2005,44.8
Lithuania,31-10-2005,40.95
Luxembourg,31-10-2005,39.91
Madagascar,31-10-2005,47.71
Malaysia,31-10-2005,39.5
Malta,31-10-2005,44.54
Moldova,31-10-2005,47.57
Monaco,31-10-2005,38.81
Morocco,31-10-2005,60.65
Namibia,31-10-2005,59.38
Netherlands,31-10-2005,52.61
New Zealand,31-10-2005,91.95
Nigeria,31-10-2005,35.99
Niue Island,31-10-2005,40.96
Norway,31-10-2005,34.74
Papua New Guinea,31-10-2005,45.09
Paraguay,31-10-2005,53.82
Peru,31-10-2005,45.44
Poland,31-10-2005,52.7
Portugal,31-10-2005,65.58
Romania,31-10-2005,65.53
Russia,31-10-2005,57.89
Samoa,31-10-2005,71.97
Scotland,31-10-2005,74.21
Senegal,31-10-2005,41.71
Serbia,31-10-2005,41.34
Singapore,31-10-2005,46.72
Slovenia,31-10-2005,40.91
Solomon Islands,31-10-2005,39.06
South Africa,31-10-2005,88.99
Spain,31-10-2005,53.86
Sri Lanka,31-10-2005,46.15
St Lucia,31-10-2005,37.57
St Vincent and the Grenadines,31-10-2005,39.3
Swaziland,31-10-2005,37.57
Sweden,31-10-2005,44.52
Switzerland,31-10-2005,48.7
Tahiti,31-10-2005,36.25
Thailand,31-10-2005,42.13
Tonga,31-10-2005,62.04
Trinidad & Tobago,31-10-2005,43.97
Tunisia,31-10-2005,51.32
Uganda,31-10-2005,42.94
Ukraine,31-10-2005,55.18
Uruguay,31-10-2005,67.55
USA,31-10-2005,68.29
Vanuatu,31-10-2005,34.77
Venezuela,31-10-2005,45.45
Wales,31-10-2005,83.08
Zambia,31-10-2005,39.96
Zimbabwe,31-10-2005,47.14
Andorra,31-05-2004,42.6
Arabian Gulf,31-05-2004,48.98
Argentina,31-05-2004,78.02
Australia,31-05-2004,86.58
Austria,31-05-2004,37.18
Bahamas,31-05-2004,34.2
Barbados,31-05-2004,38.48
Belgium,31-05-2004,46.06
Bermuda,31-05-2004,44.57
Bosnia & Herzegovina,31-05-2004,31.97
Botswana,31-05-2004,35.82
Brazil,31-05-2004,51.56
Bulgaria,31-05-2004,35.08
Cameroon,31-05-2004,38.97
Canada,31-05-2004,68.07
Cayman Islands,31-05-2004,43.97
Chile,31-05-2004,58.87
China,31-05-2004,48.94
Chinese Taipei,31-05-2004,51.93
Colombia,31-05-2004,38.63
Cook Islands,31-05-2004,44
Cote D'Ivoire,31-05-2004,48.87
Croatia,31-05-2004,49.33
Czech Republic,31-05-2004,56.83
Denmark,31-05-2004,48.96
England,31-05-2004,90.56
Fiji,31-05-2004,71.82
Finland,31-05-2004,33.06
France,31-05-2004,86.05
Georgia,31-05-2004,61.06
Germany,31-05-2004,54.28
Guam,31-05-2004,40
Guyana,31-05-2004,38.95
Hong Kong,31-05-2004,55.73
Hungary,31-05-2004,39.4
India,31-05-2004,35.49
Ireland,31-05-2004,82.52
Israel,31-05-2004,35.98
Italy,31-05-2004,72.4
Jamaica,31-05-2004,37.93
Japan,31-05-2004,63.93
Kazakhstan,31-05-2004,46.89
Kenya,31-05-2004,46.3
Korea,31-05-2004,61.2
Latvia,31-05-2004,45.21
Lithuania,31-05-2004,42.42
Luxembourg,31-05-2004,41.36
Madagascar,31-05-2004,48.2
Malaysia,31-05-2004,39.53
Malta,31-05-2004,44.17
Moldova,31-05-2004,48.77
Monaco,31-05-2004,38.81
Morocco,31-05-2004,61.56
Namibia,31-05-2004,57.77
Netherlands,31-05-2004,53.5
New Zealand,31-05-2004,90.12
Nigeria,31-05-2004,39.87
Niue Island,31-05-2004,41.51
Norway,31-05-2004,33.62
Papua New Guinea,31-05-2004,43.52
Paraguay,31-05-2004,51.25
Peru,31-05-2004,45.75
Poland,31-05-2004,50.74
Portugal,31-05-2004,64.66
Romania,31-05-2004,66.94
Russia,31-05-2004,59.88
Samoa,31-05-2004,73.46
Scotland,31-05-2004,74.1
Senegal,31-05-2004,39.3
Serbia,31-05-2004,42.09
Singapore,31-05-2004,44.51
Slovenia,31-05-2004,45.91
Solomon Islands,31-05-2004,39.67
South Africa,31-05-2004,81.23
Spain,31-05-2004,53.43
Sri Lanka,31-05-2004,42.74
St Lucia,31-05-2004,40
St Vincent and the Grenadines,31-05-2004,40
Swaziland,31-05-2004,37.92
Sweden,31-05-2004,45.75
Switzerland,31-05-2004,51.89
Tahiti,31-05-2004,37.62
Thailand,31-05-2004,43.98
Tonga,31-05-2004,63.15
Trinidad & Tobago,31-05-2004,46.36
Tunisia,31-05-2004,54.09
Uganda,31-05-2004,41.11
Ukraine,31-05-2004,58.92
Uruguay,31-05-2004,65.66
USA,31-05-2004,66.74
Vanuatu,31-05-2004,35.67
Venezuela,31-05-2004,46.98
Wales,31-05-2004,76.77
Zambia,31-05-2004,43.82
Zimbabwe,31-05-2004,47.22
American Samoa,31-03-2014,30
Andorra,31-03-2014,42.84
Argentina,31-03-2014,76.44
Australia,31-03-2014,86.88
Austria,31-03-2014,35.94
Bahamas,31-03-2014,35.68
Barbados,31-03-2014,39.68
Belgium,31-03-2014,53.9
Bermuda,31-03-2014,45.53
Bosnia & Herzegovina,31-03-2014,35.41
Botswana,31-03-2014,38.58
Brazil,31-03-2014,50.95
Bulgaria,31-03-2014,35.42
Cameroon,31-03-2014,38.33
Canada,31-03-2014,70.75
Cayman Islands,31-03-2014,42.52
Chile,31-03-2014,55.44
China,31-03-2014,40.73
Chinese Taipei,31-03-2014,43.41
Colombia,31-03-2014,43.33
Cook Islands,31-03-2014,47.11
Cote D'Ivoire,31-03-2014,47.04
Croatia,31-03-2014,44.42
Czech Republic,31-03-2014,47
Denmark,31-03-2014,40.14
England,31-03-2014,85.68
Fiji,31-03-2014,74.21
Finland,31-03-2014,27.92
France,31-03-2014,80.07
Georgia,31-03-2014,70.46
Germany,31-03-2014,56.2
Greece,31-03-2014,30.49
Guam,31-03-2014,35.7
Guyana,31-03-2014,43.19
Hong Kong,31-03-2014,56.35
Hungary,31-03-2014,40.81
India,31-03-2014,39.37
Indonesia,31-03-2014,30
Ireland,31-03-2014,82.13
Israel,31-03-2014,46.83
Italy,31-03-2014,72.05
Jamaica,31-03-2014,37.08
Japan,31-03-2014,72.06
Kazakhstan,31-03-2014,48.11
Kenya,31-03-2014,51.75
Korea,31-03-2014,58.1
Latvia,31-03-2014,40.34
Lithuania,31-03-2014,46.06
Luxembourg,31-03-2014,34.61
Madagascar,31-03-2014,51.13
Malaysia,31-03-2014,40.2
Malta,31-03-2014,48.61
Mauritius,31-03-2014,29.29
Mexico,31-03-2014,39.38
Moldova,31-03-2014,55.11
Monaco,31-03-2014,35.17
Morocco,31-03-2014,51.18
Namibia,31-03-2014,58.79
Netherlands,31-03-2014,52.86
New Zealand,31-03-2014,93.81
Nigeria,31-03-2014,37.92
Niue Island,31-03-2014,40.45
Norway,31-03-2014,32.71
Pakistan,31-03-2014,38.38
Papua New Guinea,31-03-2014,45.27
Paraguay,31-03-2014,50.09
Peru,31-03-2014,40.13
Philippines,31-03-2014,44.09
Poland,31-03-2014,52.32
Portugal,31-03-2014,57.73
Romania,31-03-2014,68.08
Russia,31-03-2014,62.58
Samoa,31-03-2014,77.34
Scotland,31-03-2014,75.16
Senegal,31-03-2014,48.68
Serbia,31-03-2014,37.59
Singapore,31-03-2014,44.54
Slovenia,31-03-2014,36.46
Solomon Islands,31-03-2014,40.35
South Africa,31-03-2014,89.34
Spain,31-03-2014,60.65
Sri Lanka,31-03-2014,49.66
St Vincent and the Grenadines,31-03-2014,36.84
Swaziland,31-03-2014,35.63
Sweden,31-03-2014,48.64
Switzerland,31-03-2014,49.83
Tahiti,31-03-2014,35.37
Thailand,31-03-2014,43.37
Tonga,31-03-2014,73.21
Trinidad & Tobago,31-03-2014,46.38
Tunisia,31-03-2014,48.25
Uganda,31-03-2014,46.36
Ukraine,31-03-2014,52.17
United Arab Emirates,31-03-2014,30
Uruguay,31-03-2014,60.97
USA,31-03-2014,67.21
Vanuatu,31-03-2014,33.45
Venezuela,31-03-2014,41.67
Wales,31-03-2014,80.7
Zambia,31-03-2014,36.94
Zimbabwe,31-03-2014,53.56
Andorra,31-07-2006,43.54
Arabian Gulf,31-07-2006,48.76
Argentina,31-07-2006,76.76
Australia,31-07-2006,86.22
Austria,31-07-2006,39.97
Bahamas,31-07-2006,35.61
Barbados,31-07-2006,43.13
Belgium,31-07-2006,51.51
Bermuda,31-07-2006,41.69
Bosnia & Herzegovina,31-07-2006,31.8
Botswana,31-07-2006,38.64
Brazil,31-07-2006,50.72
Bulgaria,31-07-2006,35.2
Cameroon,31-07-2006,38.52
Canada,31-07-2006,69.32
Cayman Islands,31-07-2006,43.87
Chile,31-07-2006,59.22
China,31-07-2006,46.36
Chinese Taipei,31-07-2006,48.41
Colombia,31-07-2006,37.53
Cook Islands,31-07-2006,45.87
Cote D'Ivoire,31-07-2006,47.58
Croatia,31-07-2006,48.93
Czech Republic,31-07-2006,56.47
Denmark,31-07-2006,45.05
England,31-07-2006,79.64
Fiji,31-07-2006,73.11
Finland,31-07-2006,29.32
France,31-07-2006,87.52
Georgia,31-07-2006,65.04
Germany,31-07-2006,56.06
Guam,31-07-2006,38.14
Guyana,31-07-2006,40.35
Hong Kong,31-07-2006,55.17
Hungary,31-07-2006,40.05
India,31-07-2006,36.21
Ireland,31-07-2006,82
Israel,31-07-2006,34.56
Italy,31-07-2006,71.98
Jamaica,31-07-2006,38.97
Japan,31-07-2006,62.96
Kazakhstan,31-07-2006,47.95
Kenya,31-07-2006,49.64
Korea,31-07-2006,60.07
Latvia,31-07-2006,48.26
Lithuania,31-07-2006,41.19
Luxembourg,31-07-2006,37.93
Madagascar,31-07-2006,47.71
Malaysia,31-07-2006,41.7
Malta,31-07-2006,46.43
Moldova,31-07-2006,50.22
Monaco,31-07-2006,38.81
Morocco,31-07-2006,60.52
Namibia,31-07-2006,56.25
Netherlands,31-07-2006,51.72
New Zealand,31-07-2006,93.98
Nigeria,31-07-2006,35.99
Niue Island,31-07-2006,40.96
Norway,31-07-2006,38.7
Papua New Guinea,31-07-2006,45.09
Paraguay,31-07-2006,53.82
Peru,31-07-2006,45.44
Poland,31-07-2006,49.55
Portugal,31-07-2006,61.09
Romania,31-07-2006,67.24
Russia,31-07-2006,64.39
Samoa,31-07-2006,73.72
Scotland,31-07-2006,77.63
Senegal,31-07-2006,42.13
Serbia,31-07-2006,40.04
Singapore,31-07-2006,46
Slovenia,31-07-2006,40.9
Solomon Islands,31-07-2006,39.06
South Africa,31-07-2006,85.89
Spain,31-07-2006,56.99
Sri Lanka,31-07-2006,48.12
St Lucia,31-07-2006,37.57
St Vincent and the Grenadines,31-07-2006,39.3
Swaziland,31-07-2006,37.57
Sweden,31-07-2006,47.71
Switzerland,31-07-2006,47.13
Tahiti,31-07-2006,36.25
Thailand,31-07-2006,40.8
Tonga,31-07-2006,66.01
Trinidad & Tobago,31-07-2006,43.97
Tunisia,31-07-2006,52.63
Uganda,31-07-2006,45.25
Ukraine,31-07-2006,52.4
Uruguay,31-07-2006,66.67
USA,31-07-2006,67.63
Vanuatu,31-07-2006,34.77
Venezuela,31-07-2006,45.45
Wales,31-07-2006,76.13
Zambia,31-07-2006,39.96
Zimbabwe,31-07-2006,47.14
American Samoa,31-08-2015,25.53
Andorra,31-08-2015,43.1
Argentina,31-08-2015,78.39
Australia,31-08-2015,86.67
Austria,31-08-2015,35
Bahamas,31-08-2015,34.55
Barbados,31-08-2015,37.39
Belgium,31-08-2015,56.47
Bermuda,31-08-2015,40.03
Bosnia & Herzegovina,31-08-2015,35.43
Botswana,31-08-2015,40.99
Brazil,31-08-2015,49.26
Bulgaria,31-08-2015,31.98
Cameroon,31-08-2015,32.33
Canada,31-08-2015,63.28
Cayman Islands,31-08-2015,42.87
Chile,31-08-2015,57.34
China,31-08-2015,39.58
Chinese Taipei,31-08-2015,40.27
Colombia,31-08-2015,46.37
Cook Islands,31-08-2015,47.11
Cote D'Ivoire,31-08-2015,45.76
Croatia,31-08-2015,44.83
Czech Republic,31-08-2015,51.07
Denmark,31-08-2015,35.73
England,31-08-2015,84.24
Fiji,31-08-2015,77.04
Finland,31-08-2015,29.89
France,31-08-2015,80.9
Georgia,31-08-2015,72.16
Germany,31-08-2015,54.78
Greece,31-08-2015,28.55
Guam,31-08-2015,38.11
Guyana,31-08-2015,44.88
Hong Kong,31-08-2015,57.31
Hungary,31-08-2015,39.21
India,31-08-2015,37.12
Indonesia,31-08-2015,28.73
Ireland,31-08-2015,85.19
Israel,31-08-2015,44.2
Italy,31-08-2015,70.53
Jamaica,31-08-2015,36.99
Japan,31-08-2015,71.15
Kazakhstan,31-08-2015,48.14
Kenya,31-08-2015,55.89
Korea,31-08-2015,56.7
Latvia,31-08-2015,41.33
Lithuania,31-08-2015,48.01
Luxembourg,31-08-2015,40.25
Madagascar,31-08-2015,48.71
Malaysia,31-08-2015,43.53
Malta,31-08-2015,48.12
Mauritius,31-08-2015,33.86
Mexico,31-08-2015,43.61
Moldova,31-08-2015,53.69
Monaco,31-08-2015,29.17
Morocco,31-08-2015,45.18
Namibia,31-08-2015,61.85
Netherlands,31-08-2015,51.86
New Zealand,31-08-2015,92.89
Nigeria,31-08-2015,37.03
Niue Island,31-08-2015,34.45
Norway,31-08-2015,32.78
Pakistan,31-08-2015,36.74
Papua New Guinea,31-08-2015,39.27
Paraguay,31-08-2015,50.46
Peru,31-08-2015,38.84
Philippines,31-08-2015,45.12
Poland,31-08-2015,49.84
Portugal,31-08-2015,55.72
Romania,31-08-2015,66.73
Russia,31-08-2015,61.1
Samoa,31-08-2015,75.14
Scotland,31-08-2015,76.1
Senegal,31-08-2015,45.96
Serbia,31-08-2015,36.82
Singapore,31-08-2015,42.92
Slovenia,31-08-2015,38.8
Solomon Islands,31-08-2015,30.4
South Africa,31-08-2015,85.15
Spain,31-08-2015,61.54
Sri Lanka,31-08-2015,49.79
St Vincent and the Grenadines,31-08-2015,36.84
Swaziland,31-08-2015,32.04
Sweden,31-08-2015,46.05
Switzerland,31-08-2015,49.49
Tahiti,31-08-2015,31.79
Thailand,31-08-2015,37.46
Tonga,31-08-2015,75.25
Trinidad & Tobago,31-08-2015,47.38
Tunisia,31-08-2015,49.11
Uganda,31-08-2015,46.35
Ukraine,31-08-2015,54.07
United Arab Emirates,31-08-2015,34.92
Uruguay,31-08-2015,62.11
USA,31-08-2015,70.36
Uzbekistan,31-08-2015,33.89
Vanuatu,31-08-2015,27.45
Venezuela,31-08-2015,41.65
Wales,31-08-2015,84.63
Zambia,31-08-2015,35.8
Zimbabwe,31-08-2015,56.16
Andorra,31-08-2009,40.37
Arabian Gulf,31-08-2009,49.32
Argentina,31-08-2009,81.3
Australia,31-08-2009,84.24
Austria,31-08-2009,34.01
Bahamas,31-08-2009,36.33
Barbados,31-08-2009,40.96
Belgium,31-08-2009,53.67
Bermuda,31-08-2009,42.26
Bosnia & Herzegovina,31-08-2009,35.43
Botswana,31-08-2009,39.21
Brazil,31-08-2009,54.97
Bulgaria,31-08-2009,35.49
Cameroon,31-08-2009,38.21
Canada,31-08-2009,70.06
Cayman Islands,31-08-2009,42.12
Chile,31-08-2009,57.95
China,31-08-2009,46.12
Chinese Taipei,31-08-2009,45.78
Colombia,31-08-2009,42.03
Cook Islands,31-08-2009,44.61
Cote D'Ivoire,31-08-2009,50.31
Croatia,31-08-2009,48.94
Czech Republic,31-08-2009,51.48
Denmark,31-08-2009,41.62
England,31-08-2009,81.24
Fiji,31-08-2009,76.51
Finland,31-08-2009,30.32
France,31-08-2009,81.49
Georgia,31-08-2009,66.85
Germany,31-08-2009,55.35
Guam,31-08-2009,36.8
Guyana,31-08-2009,41.52
Hong Kong,31-08-2009,52.07
Hungary,31-08-2009,42.12
India,31-08-2009,36.61
Ireland,31-08-2009,83.3
Israel,31-08-2009,37.56
Italy,31-08-2009,71.2
Jamaica,31-08-2009,36.61
Japan,31-08-2009,68.36
Kazakhstan,31-08-2009,55.07
Kenya,31-08-2009,49.68
Korea,31-08-2009,57.88
Latvia,31-08-2009,43.52
Lithuania,31-08-2009,50.79
Luxembourg,31-08-2009,33.52
Madagascar,31-08-2009,46.9
Malaysia,31-08-2009,41.17
Malta,31-08-2009,45.11
Moldova,31-08-2009,49.84
Monaco,31-08-2009,35.92
Morocco,31-08-2009,53.06
Namibia,31-08-2009,56.6
Netherlands,31-08-2009,51.02
New Zealand,31-08-2009,90.37
Nigeria,31-08-2009,35.28
Niue Island,31-08-2009,41.11
Norway,31-08-2009,36.44
Papua New Guinea,31-08-2009,46.19
Paraguay,31-08-2009,50.93
Peru,31-08-2009,40.64
Poland,31-08-2009,54.42
Portugal,31-08-2009,62.15
Romania,31-08-2009,64.83
Russia,31-08-2009,67.16
Samoa,31-08-2009,73.48
Scotland,31-08-2009,75.23
Senegal,31-08-2009,42.12
Serbia,31-08-2009,43.09
Singapore,31-08-2009,45.94
Slovenia,31-08-2009,42.27
Solomon Islands,31-08-2009,39.06
South Africa,31-08-2009,91.87
Spain,31-08-2009,59.01
Sri Lanka,31-08-2009,45.64
St Lucia,31-08-2009,37.57
St Vincent and the Grenadines,31-08-2009,39.3
Swaziland,31-08-2009,36.68
Sweden,31-08-2009,48.03
Switzerland,31-08-2009,43.83
Tahiti,31-08-2009,36.25
Thailand,31-08-2009,40.51
Tonga,31-08-2009,67.52
Trinidad & Tobago,31-08-2009,46.77
Tunisia,31-08-2009,55.28
Uganda,31-08-2009,49.71
Ukraine,31-08-2009,54.17
Uruguay,31-08-2009,61.97
USA,31-08-2009,65.97
Vanuatu,31-08-2009,34.77
Venezuela,31-08-2009,43.92
Wales,31-08-2009,80.74
Zambia,31-08-2009,39.31
Zimbabwe,31-08-2009,46.91
American Samoa,30-09-2013,30
Andorra,30-09-2013,40.64
Argentina,30-09-2013,76.41
Australia,30-09-2013,83.34
Austria,30-09-2013,34.55
Bahamas,30-09-2013,35.68
Barbados,30-09-2013,39.68
Belgium,30-09-2013,57.52
Bermuda,30-09-2013,45.53
Bosnia & Herzegovina,30-09-2013,35.89
Botswana,30-09-2013,38.58
Brazil,30-09-2013,51.86
Bulgaria,30-09-2013,38.85
Cameroon,30-09-2013,38.33
Canada,30-09-2013,72.68
Cayman Islands,30-09-2013,42.52
Chile,30-09-2013,56.85
China,30-09-2013,40.73
Chinese Taipei,30-09-2013,43.41
Colombia,30-09-2013,43.33
Cook Islands,30-09-2013,47.11
Cote D'Ivoire,30-09-2013,48.83
Croatia,30-09-2013,46.04
Czech Republic,30-09-2013,46.11
Denmark,30-09-2013,41.56
England,30-09-2013,85.76
Fiji,30-09-2013,73.56
Finland,30-09-2013,28.8
France,30-09-2013,81.59
Georgia,30-09-2013,67.66
Germany,30-09-2013,55.96
Greece,30-09-2013,28.49
Guam,30-09-2013,35.7
Guyana,30-09-2013,43.19
Hong Kong,30-09-2013,54.56
Hungary,30-09-2013,38.19
India,30-09-2013,39.37
Ireland,30-09-2013,79.58
Israel,30-09-2013,46.7
Italy,30-09-2013,74.17
Jamaica,30-09-2013,37.08
Japan,30-09-2013,71.98
Kazakhstan,30-09-2013,48.11
Kenya,30-09-2013,52.78
Korea,30-09-2013,58.1
Latvia,30-09-2013,41.31
Lithuania,30-09-2013,47.47
Luxembourg,30-09-2013,35.07
Madagascar,30-09-2013,48.04
Malaysia,30-09-2013,40.2
Malta,30-09-2013,46.63
Mauritius,30-09-2013,29.29
Mexico,30-09-2013,39.38
Moldova,30-09-2013,53.77
Monaco,30-09-2013,35.17
Morocco,30-09-2013,51.18
Namibia,30-09-2013,58.7
Netherlands,30-09-2013,51.53
New Zealand,30-09-2013,92.07
Nigeria,30-09-2013,37.92
Niue Island,30-09-2013,40.45
Norway,30-09-2013,33.03
Pakistan,30-09-2013,38.38
Papua New Guinea,30-09-2013,45.27
Paraguay,30-09-2013,50.09
Peru,30-09-2013,40.13
Philippines,30-09-2013,44.09
Poland,30-09-2013,55.64
